sender,recipient,date,end date
"Hooker, William Jackson","Henslow, J. S.",1825-09-09,1825-09-09
"Greville, R. K.","Henslow, J. S.",1827-01-23,1827-01-23
"Greville, R. K.","Henslow, J. S.",1827-01-23,1827-01-23
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Greville, R. K.","Henslow, J. S.",1827-11-04,1827-11-04
"Hooker, William Jackson","Henslow, J. S.",1828-04-22,1828-04-22
"Greville, R. K.","Henslow, J. S.",1828-09-09,1828-09-09
"Greville, R. K.","Henslow, J. S.",1828-09-09,1828-09-09
"Greville, R. K.","Henslow, J. S.",1828-09-09,1828-09-09
"Lowe, R. T.","Henslow, J. S.",1829-05-06,1829-05-06
"Hooker, William Jackson","Henslow, J. S.",1829-10-12,1829-10-12
"Dalton, Revd James","Henslow, J. S.",1829-10-22,1829-10-22
"Dalton, Revd James","Henslow, J. S.",1829-10-22,1829-10-22
"Dalton, Revd James","Henslow, J. S.",1829-11-17,1829-11-17
"Lowe, R. T.","Henslow, J. S.",1829-11-27,1829-11-27
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Dalton, Revd James","Henslow, J. S.",1830-04-11,1830-04-11
"Hooker, William Jackson","Henslow, J. S.",1830-11-27,1830-11-27
"Wilson, Edward","Henslow, J. S.",1831-01-03,1831-01-03
"Wedgwood, Hensleigh","Henslow, J. S.",1831-02-05,1831-02-05
"Wedgwood, Hensleigh","Henslow, J. S.",1831-02-05,1831-02-05
"Wedgwood, Hensleigh","Henslow, J. S.",1831-02-05,1831-02-05
"Wedgwood, Hensleigh","Henslow, J. S.",1831-02-05,1831-02-05
"Hooker, William Jackson","Henslow, J. S.",1831-02-14,1831-02-14
"Hooker, William Jackson","Henslow, J. S.",1831-02-14,1831-02-14
"Smith, G. E.","Henslow, J. S.",1831-04-06,1831-04-06
"Dalton, Revd James","Henslow, J. S.",1831-04-12,1831-04-12
"Dalton, Revd James","Henslow, J. S.",1831-04-12,1831-04-12
"Ward, James","Henslow, J. S.",1831-06-15,1831-06-15
"Lyell, Charles","Henslow, J. S.",1832-02-15,1832-02-15
"Ramsay, E. B.","Henslow, J. S.",1832-10-20,1832-10-20
"Horner, Leonard","Henslow, J. S.",1834-10-12,1834-10-12
"Jardine, William","Henslow, J. S.",1836-02-10,1836-02-10
"Jardine, William","Henslow, J. S.",1837-01-24,1837-01-24
"Hooker, J. D.","Henslow, J. S.",1845-11-24,1845-11-24
"Henslow, J. S. ","Hooker, William Jackson",1846-11-20,1846-11-20
"Henslow, J. S. ","Hooker, William Jackson",1846-11-20,1846-11-20
"Henslow, J. S. ","Hooker, William Jackson",1846-11-20,1846-11-20
"Daubeny, Charles","Henslow, J. S.",1847-07-02,1847-07-02
"Daubeny, Charles","Henslow, J. S.",1847-07-02,1847-07-02
"Daubeny, Charles","Henslow, J. S.",1847-07-02,1847-07-02
"Daubeny, Charles","Henslow, J. S.",1847-07-02,1847-07-02
"Henslow, J. S.","Yates, James",1848-02-17,1848-02-17
"Sedgwick, Adam","Henslow, J. S.",1850-02-01,1850-02-01
"Horner, Leonard","Henslow, J. S.",1850-08-29,1850-08-29
"Hooker, J. D.","Henslow, J. S.",1851-03-27,1851-03-27
"Bowerbank, James Scott","Henslow, J. S.",1851-12-28,1851-12-28
"Henslow, J. S.","Martin, Thomas",1852-07-13,1852-07-13
"Bunbury, F. J.","Henslow, J. S.",1852-08-18,1852-08-18
"Henslow, J. S.","Whewell, William",1852-10-17,1852-10-17
"Henslow, J. S.","Sedgwick, Adam",1852-11-27,1852-11-27
"Henslow, J. S.","Sedgwick, Adam",1852-11-27,1852-11-27
"Henslow, J. S.","Sedgwick, Adam",1852-11-27,1852-11-27
"Dawes, Richard","Henslow, J. S.",1853-12-29,1853-12-29
"Latham, R. G.","Henslow, J. S.",1854-03-01,1854-03-01
"Henslow, J. S.","Gould, John.",1854-06-26,1854-06-26
"Bowerbank, James Scott","Henslow, J. S.",1855-02-05,1855-02-05
"Glaisher, James","Henslow, J. S.",1855-03-28,1855-03-28
"Henslow, J. S.",Lester,1855-06-25,1855-06-25
"Jenyns, Leonard","Henslow, J. S.",1855-06-27,1855-06-27
"Brodie, Sir B.","Henslow, J. S.",1855-08-24,1855-08-24
"Horner, Leonard","Henslow, J. S.",1855-09-24,1855-09-24
"Billing, Archibald","Henslow, J. S.",1855-11-22,1855-11-22
"Carpenter, William B.","Henslow, J. S.",1856-04-18,1856-04-18
"Henslow, J. S.","Jenyns, Leonard",1856-07-25,1856-07-25
"Horner, Leonard","Henslow, J. S.",1856-09-24,1856-09-24
"Carpenter, William B.","Henslow, J. S.",1856-11-13,1856-11-13
"Henslow, J. S.","Whewell, William",1857-04-07,1857-04-07
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Horner, Leonard","Henslow, J. S.",1857-09-12,1857-09-12
"Carpenter, William B.","Henslow, J. S.",1857-11-13,1857-11-13
"Hooker, William Jackson","Henslow, J. S.",1857-12-20,1857-12-20
"Hooker, J. D.","Henslow, J. S.",1858-03-21,1858-03-21
"Ellis, William","Henslow, J. S.",1859-01-15,1859-01-15
"Jenyns, Leonard","Henslow, J. S.",1859-07-27,1859-07-27
"Carpenter, William B.","Henslow, J. S.",1859-08-03,1859-08-03
"Henslow, J. S.","Whewell, William",1860-01-26,1860-01-26
"Henslow, J. S.","Balfour, J. H.",1860-09-17,1860-09-17
"Henslow, J. S.","Macmillan's Magazine, Editor",1861-01-16,1861-01-16
